htid	title_id	title	author	year	first_week	debut_rank	best_rank
pst.000033362915	4	"""L"" IS FOR LAWLESS"	Sue Grafton	1995	1995-09-17	10	1
mdp.39015053378256	7	"""P"" IS FOR PERIL"	Sue Grafton	2001	2001-06-24	14	1
mdp.39015040572409	13	10 LB. PENALTY	Dick Francis	1997	1997-10-12	4	5
uc1.b4421473	24	19 PURCHASE STREET	Gerald A. Browne	1982	1982-09-05	1	10
mdp.39015060875179	41	72 HOUR HOLD	Bebe Moore Campbell	2005	2005-07-17	15	11
uc1.b4975998	48	A BED BY THE WINDOW	M. Scott Peck	1990	1990-09-16	10	13
mdp.39015008165196	49	A BEGGAR IN JERUSALEM	Elie Wiesel	1970	1970-03-22	5	8
pst.000025930993	49	A BEGGAR IN JERUSALEM	Elie Wiesel	1970	1970-03-22	5	8
mdp.39015025036917	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
mdp.39015049779740	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
pst.000030860100	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
mdp.39015012833763	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
mdp.39076006266766	50	A BELL FOR ADANO	John Hersey	1944	1944-03-05	4	2
uc1.32106013836868	54	A BOOK OF COMMON PRAYER	Joan Didion	1977	1977-04-24	1	8
mdp.39015003930461	55	A BREATH OF AIR	Rumer Godden	1951	1951-02-25	12	11
uc1.$b102642	55	A BREATH OF AIR	Rumer Godden	1951	1951-02-25	12	11
mdp.39015062594760	56	A BREATH OF SNOW AND ASHES	Diana Gabaldon	2005	2005-10-16	2	1
uc1.$b101955	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
mdp.39015000618572	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
mdp.39015000618663	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
mdp.49015001344689	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
inu.39000003569436	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
pst.000029884575	58	A BURNT-OUT CASE	Graham Greene	1961	1961-02-26	1	3
mdp.39015003930867	59	A CANDLE FOR ST. JUDE	Rumer Godden	1948	1948-08-29	6	12
mdp.39015012321967	59	A CANDLE FOR ST. JUDE	Rumer Godden	1948	1948-08-29	6	12
mdp.39015054129278	60	A CARESS OF TWILIGHT	Laurell K. Hamilton	2002	2002-04-14	6	10
mdp.39015002388232	61	A CASE OF NEED	Michael Crichton writing as Jeffery Hudson	1993	1993-08-01	15	10
uc1.32106010338751	62	A CATSKILL EAGLE	Robert B. Parker	1985	1985-06-16	9	6
mdp.39015005780161	65	A CERTAIN SMILE	Francoise Sagan	1956	1956-08-19	14	2
mdp.39015003978536	65	A CERTAIN SMILE	Francoise Sagan	1956	1956-08-19	14	2
mdp.39015010915471	68	A CHARMED LIFE	Mary McCarthy	1955	1955-11-27	16	9
mdp.39015001506412	68	A CHARMED LIFE	Mary McCarthy	1955	1955-11-27	16	9
pst.000032420562	68	A CHARMED LIFE	Mary McCarthy	1955	1955-11-27	16	9
mdp.39015046463629	70	A CLASH OF KINGS	George R. R. Martin	1999	1999-02-21	6	13
mdp.39015056807590	71	A COLD HEART	Jonathan Kellerman	2003	2003-05-18	12	6
mdp.39015050487860	73	A COMMON LIFE	Jan Karon	2001	2001-04-29	11	1
mdp.39015009017743	75	A COVENANT WITH DEATH	Stephen Becker	1965	1965-02-07	13	6
mdp.39015012196773	75	A COVENANT WITH DEATH	Stephen Becker	1965	1965-02-07	13	6
mdp.39015008691340	88	A DAY OF BATTLE	Vincent Sheean	1938	1938-08-01	6	4
uc1.$b105695	88	A DAY OF BATTLE	Vincent Sheean	1938	1938-08-01	6	4
inu.30000117261648	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
mdp.39015004995885	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
uc1.32106002085238	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
pst.000028906216	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
mdp.39015000695174	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
pst.000029710478	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
mdp.39015073600093	90	A DEATH IN THE FAMILY	James Agee	1957	1957-12-29	1	9
mdp.39015058235873	91	A DEATH IN VIENNA	Daniel Silva	2004	2004-03-14	11	5
mdp.39015049529939	95	A DENSITY OF SOULS	Christopher Rice	2000	2000-10-15	9	15
uc1.$b101886	103	A DREAM OF KINGS	Davis Grubb	1955	1955-10-23	15	15
mdp.39015000621097	103	A DREAM OF KINGS	Davis Grubb	1955	1955-10-23	15	15
uc1.b3688199	103	A DREAM OF KINGS	Davis Grubb	1955	1955-10-23	15	15
