hathi_id	shorttitle	author	person_id	inferreddate	imprintdate	oclc	full_name	given_name	last_name	gender
mdp.39015030947983	Hasen : a novel	Bercovitch, Reuben	1891	1978	1978	3396700	Reuben Bercovitch	Reuben	Bercovitch	unknown
uc1.b3464211	In the future perfect	Abish, Walter	2322	1977	1977	3034528	Walter Abish	Walter	Abish	male
mdp.39015029965731	Eclipse fever	Abish, Walter	2322	1993	1993	26805844	Walter Abish	Walter	Abish	male
mdp.39015049989240	Gob's grief	Adrian, Chris	378	2000	2000	44541880	Chris Adrian	Chris	Adrian	male
uc1.32106018461399	The children's hospital	Adrian, Chris	378	2006	2006	71260047	Chris Adrian	Chris	Adrian	male
inu.30000117261648	A death in the family	Agee, James	960	1956	1979	4755871	James Agee	James	Agee	male
mdp.39015073600093	A death in the family : a restoration of the author's text	Agee, James	960	2007	2007	86110082	James Agee	James	Agee	male
mdp.39015062426500	Let us now praise famous men ; : A death in the family, & shorter fiction	Agee, James	960	2005	2005	58422789	James Agee	James	Agee	male
mdp.39015004995091	The collected short prose of James Agee	Agee, James	960	1972	1972	1863828	James Agee	James	Agee	male
pst.000029710478	A death in the family	Agee, James	960	1969	1969	313456	James Agee	James	Agee	male
mdp.39015008527270	The collected short prose of James Agee	Agee, James	960	1968	1968	449409	James Agee	James	Agee	male
mdp.39015000695174	A death in the family	Agee, James	960	1967	1967	249006	James Agee	James	Agee	male
mdp.39015058019038	The morning watch	Agee, James	960	1951	1951	276629	James Agee	James	Agee	male
pst.000028906216	A death in the family	Agee, James	960	1957	1970	1932948	James Agee	James	Agee	male
mdp.39015004995885	A death in the family	Agee, James	960	1957	1957	276631	James Agee	James	Agee	male
uc1.$b399274	Thee; a poem	Aiken, Conrad	428	1967	1967	780400	Conrad Aiken	Conrad	Aiken	male
mdp.39015012310051	The collected short stories of Conrad Aiken	Aiken, Conrad	428	1966	1966	3333703	Conrad Aiken	Conrad	Aiken	male
uc1.b4097285	3 novels : Blue voyage, Great circle, King Coffin	Aiken, Conrad	428	1965	1965	3714274	Conrad Aiken	Conrad	Aiken	male
mdp.39015012825637	The collected novels of Conrad Aiken	Aiken, Conrad	428	1964	1964	63150510	Conrad Aiken	Conrad	Aiken	male
uc1.b4098076	The collected short stories of Conrad Aiken	Aiken, Conrad	428	1960	1960	15498682	Conrad Aiken	Conrad	Aiken	male
mdp.39015007064101	Great circle	Aiken, Conrad	428	1985	1985	11599198	Conrad Aiken	Conrad	Aiken	male
uc1.b4098079	The short stories of Conrad Aiken	Aiken, Conrad	428	1950	1950	181324	Conrad Aiken	Conrad	Aiken	male
mdp.39015010832353	Collected short stories	Aiken, Conrad	428	1960	1960	244000	Conrad Aiken	Conrad	Aiken	male
mdp.39015048835402	The toughest Indian in the world	Alexie, Sherman	2100	2000	2000	43227429	Sherman Alexie	Sherman	Alexie	male
pst.000028010135	The neon wilderness	Algren, Nelson	1715	1960	1966	10818350	Nelson Algren	Nelson	Algren	male
mdp.39015034516602	The Texas stories of Nelson Algren	Algren, Nelson	1715	1995	1995	32273469	Nelson Algren	Nelson	Algren	male
mdp.39015042873649	The devil's stocking	Algren, Nelson	1715	1983	1983	9908702	Nelson Algren	Nelson	Algren	male
mdp.49015000558818	A walk on the wild side	Algren, Nelson	1715	1977	1977	2818794	Nelson Algren	Nelson	Algren	male
uc1.32106002086038	The neon wilderness	Algren, Nelson	1715	1947	1947	1117160	Nelson Algren	Nelson	Algren	male
inu.30000114594637	Never come morning	Algren, Nelson	1715	1987	1987	15367052	Nelson Algren	Nelson	Algren	male
mdp.39015017659098	The man with the golden arm, a novel	Algren, Nelson	1715	1949	1949	565975	Nelson Algren	Nelson	Algren	male
mdp.39015049545190	The man with the golden arm, a novel	Algren, Nelson	1715	1956	1956	18760205	Nelson Algren	Nelson	Algren	male
uc1.b4381185	The last carousel. -	Algren, Nelson	1715	1973	1973	747453	Nelson Algren	Nelson	Algren	male
mdp.39015005088201	The neon wilderness	Algren, Nelson	1715	1968	1968	431611	Nelson Algren	Nelson	Algren	male
mdp.39015005171676	Notes from a sea diary: Hemingway all the way	Algren, Nelson	1715	1965	1965	280142	Nelson Algren	Nelson	Algren	male
uc1.b3541058	Nelson Algren's own book of lonesome monsters	Algren, Nelson	1715	1963	1963	296483	Nelson Algren	Nelson	Algren	male
mdp.39015030843315	Who lost an American?	Algren, Nelson	1715	1963	1963	36045321	Nelson Algren	Nelson	Algren	male
mdp.39015009298442	Nelson Algren's own book of lonesome monsters	Algren, Nelson	1715	1962	1963	37997448	Nelson Algren	Nelson	Algren	male
uc1.b4098063	The neon wilderness	Algren, Nelson	1715	1948	1948	15288335	Nelson Algren	Nelson	Algren	male
mdp.39015054064129	Never come morning	Algren, Nelson	1715	1958	1958	3850596	Nelson Algren	Nelson	Algren	male
mdp.39015038623941	The hundred brothers : a novel	Antrim, Donald	588	1997	1997	35110163	Donald Antrim	Donald	Antrim	male
inu.30000067527188	The hundred brothers : a novel	Antrim, Donald	588	1997	1998	39003895	Donald Antrim	Donald	Antrim	male
mdp.39015047735868	The verificationist	Antrim, Donald	588	2000	2000	41355787	Donald Antrim	Donald	Antrim	male
uc1.32106011226153	Elect Mr. Robinson for a better world	Antrim, Donald	588	2001	2001	44841573	Donald Antrim	Donald	Antrim	male
mdp.49015001037101	The propheteers : a novel	Apple, Max	1598	1987	1987	14002636	Max Apple	Max	Apple	male
mdp.39015010209073	The oranging of America, and other stories	Apple, Max	1598	1976	1976	2346125	Max Apple	Max	Apple	male
mdp.39015058135206	The white stuff	Armitage, Simon	2108	2004	2004	53709720	Simon Armitage	Simon	Armitage	male
mdp.39015053383579	Little green man	Armitage, Simon	2108	2001	2001	47777023	Simon Armitage	Simon	Armitage	male
mdp.39015056824769	In the electric Eden : stories	Arvin, Nick	1722	2003	2003	50503312	Nick Arvin	Nick	Arvin	male
mdp.39015059250798	Articles of war : a novel	Arvin, Nick	1722	2005	2005	55502462	Nick Arvin	Nick	Arvin	male
mdp.39015046401116	A nest of ninnies	Ashbery, John	1103	1969	1969	218673	John Ashbery	John	Ashbery	male
pst.000010788783	A nest of ninnies	Ashbery, John	1103	1983	1983	11425883	John Ashbery	John	Ashbery	male
mdp.39015019487134	Flow chart	Ashbery, John	1103	1991	1991	22956922	John Ashbery	John	Ashbery	male
mdp.39015053046663	Season of the rainbirds	Aslam, Nadeem	1684	1993	1993	27865644	Nadeem Aslam	Nadeem	Aslam	male
uc1.$b86275	My Uncle Jan, a novel	Auslander, Joseph	1203	1948	1948	1228802	Joseph Auslander	Joseph	Auslander	male
uc1.$b86273	The islanders	Auslander, Joseph	1203	1951	1951	1290982	Joseph Auslander	Joseph	Auslander	male
mdp.39015013940443	Moon palace	Auster, Paul	1778	1989	1989	18415393	Paul Auster	Paul	Auster	male
mdp.39015031813929	Mr. Vertigo	Auster, Paul	1778	1994	1994	28966898	Paul Auster	Paul	Auster	male
mdp.49015002237668	The New York trilogy	Auster, Paul	1778	1994	1994	474152811	Paul Auster	Paul	Auster	male
mdp.39015046374867	The music of chance	Auster, Paul	1778	1990	1990	21229180	Paul Auster	Paul	Auster	male
mdp.39015014388287	The locked room	Auster, Paul	1778	1988	1988	15791247	Paul Auster	Paul	Auster	male
mdp.39015015233441	In the country of last things	Auster, Paul	1778	1988	1988	16759146	Paul Auster	Paul	Auster	male
uc1.32106007737163	In the country of last things	Auster, Paul	1778	1987	1987	13821197	Paul Auster	Paul	Auster	male
mdp.39015064813515	Leviathan	Auster, Paul	1778	1992	1992	25282105	Paul Auster	Paul	Auster	male
mdp.39015013011724	Ghosts	Auster, Paul	1778	1986	1986	13655533	Paul Auster	Paul	Auster	male
mdp.39015054134096	The New York trilogy	Auster, Paul	1778	1990	1990	20800277	Paul Auster	Paul	Auster	male
mdp.39015012429075	White spaces	Auster, Paul	1778	1980	1980	7415230	Paul Auster	Paul	Auster	male
uc1.32106007737221	City of glass	Auster, Paul	1778	1985	1985	12655249	Paul Auster	Paul	Auster	male
uc1.32106015919761	City of glass	Auster, Paul	1778	1985	1987	14001609	Paul Auster	Paul	Auster	male
mdp.39015012288398	The locked room	Auster, Paul	1778	1986	1986	15061738	Paul Auster	Paul	Auster	male
mdp.39015015324034	Ghosts	Auster, Paul	1778	1987	1987	14213662	Paul Auster	Paul	Auster	male
uc1.b3115625	Hang up the fiddle	Babcock, Frederic	767	1954	1954	1683996	Frederic Babcock	Frederic	Babcock	male
mdp.39015059184633	The importance of a piece of paper	Baca, Jimmy Santiago	1077	2004	2004	53045061	Jimmy Santiago Baca	Jimmy Santiago	Baca	male
mdp.39015074225718	Pelican Road : a novel	Bahr, Howard	904	2008	2008	183928645	Howard Bahr	Howard	Bahr	male
mdp.39015030848868	At the Jerusalem	Bailey, Paul	1779	1967	1967	2903054	Paul Bailey	Paul	Bailey	male
mdp.39015030848900	Trespasses	Bailey, Paul	1779	1970	1970	97940	Paul Bailey	Paul	Bailey	male
mdp.39015030848892	Peter Smart's confessions	Bailey, Paul	1779	1977	1977	3093533	Paul Bailey	Paul	Bailey	male
uc1.b4973452	Gabriel's lament	Bailey, Paul	1779	1986	1986	13668816	Paul Bailey	Paul	Bailey	male
mdp.39015047458388	Kitty and Virgil	Bailey, Paul	1779	1998	1998	40148465	Paul Bailey	Paul	Bailey	male
uc1.32106017321883	Peter Smart's confessions	Bailey, Paul	1779	2000	2000	43718745	Paul Bailey	Paul	Bailey	male
mdp.39015014205648	A friend in power	Baker, Carlos	314	1958	1958	905868	Carlos Baker	Carlos	Baker	male
mdp.39015016466784	The land of Rumbelow, a fable in the form of a novel	Baker, Carlos	314	1963	1963	291624	Carlos Baker	Carlos	Baker	male
uc1.b4421687	The Gay Head conspiracy, a novel of suspense	Baker, Carlos	314	1973	1973	645215	Carlos Baker	Carlos	Baker	male
mdp.39015030849163	The talismans and other stories	Baker, Carlos	314	1976	1976	1529391	Carlos Baker	Carlos	Baker	male
mdp.39015002216219	Go tell it on the mountain	Baldwin, James	964	1963	1963	1023409	James Baldwin	James	Baldwin	male
uc1.32106013535023	Tell me how long the train's been gone; a novel	Baldwin, James	964	1968	1968	427099	James Baldwin	James	Baldwin	male
mdp.39015004857507	This morning, this evening, so soon	Baldwin, James	964	1968	1968	11209839	James Baldwin	James	Baldwin	male
pst.000029903269	Tell me how long the train's been gone : a novel	Baldwin, James	964	1968	1978	316851419	James Baldwin	James	Baldwin	male
pst.000027232392	Going to meet the man	Baldwin, James	964	1969	1969	5753062	James Baldwin	James	Baldwin	male
uc1.32106013616450	If Beale Street could talk	Baldwin, James	964	1974	1974	810973	James Baldwin	James	Baldwin	male
mdp.39015027359721	Little man, little man : a story of childhood	Baldwin, James	964	1976	1976	2137149	James Baldwin	James	Baldwin	male
mdp.39015046412022	Just above my head	Baldwin, James	964	1979	1979	5170168	James Baldwin	James	Baldwin	male
pst.000049055818	Just above my head	Baldwin, James	964	1979	2000	44617544	James Baldwin	James	Baldwin	male
pst.000056881950	Giovanni's room	Baldwin, James	964	1993	1993	27972257	James Baldwin	James	Baldwin	male
uc1.32106013093890	Going to meet the man	Baldwin, James	964	1995	1995	31411946	James Baldwin	James	Baldwin	male
mdp.39015040147145	Early novels and stories	Baldwin, James	964	1998	1998	37024192	James Baldwin	James	Baldwin	male
mdp.39015027252801	Going to meet the man	Baldwin, James	964	1965	1965	275590	James Baldwin	James	Baldwin	male
mdp.39015054289775	If Beale Street could talk	Baldwin, James	964	2000	2000	44630853	James Baldwin	James	Baldwin	male
mdp.39015041189922	Go tell it on the mountain	Baldwin, James	964	1953	1953	607637	James Baldwin	James	Baldwin	male
uc1.32106002160320	Giovanni's room; a novel	Baldwin, James	964	1956	1956	275602	James Baldwin	James	Baldwin	male
mdp.39015031605432	Another country	Baldwin, James	964	1962	1962	264020	James Baldwin	James	Baldwin	male
uc1.32106011325591	Giovanni's room	Baldwin, James	964	2001	2001	45393024	James Baldwin	James	Baldwin	male
mdp.39015058243372	Vintage Baldwin	Baldwin, James	964	2004	2004	52601119	James Baldwin	James	Baldwin	male
uc1.32106013737926	Another country	Baldwin, James	964	1962	1985	13035641	James Baldwin	James	Baldwin	male
mdp.39015063278306	Go tell it on the mountain	Baldwin, James	964	1995	1995	33262717	James Baldwin	James	Baldwin	male
uc1.32106017217883	Tell me how long the train's been gone : a novel	Baldwin, James	964	1998	1998	37615771	James Baldwin	James	Baldwin	male
uc1.b3727285	The pale criminals; or, The recalcitrant fourth	Bankowsky, Richard	1894	1967	1967	1683929	Richard Bankowsky	Richard	Bankowsky	male
uc1.b3727284	A glass rose	Bankowsky, Richard	1894	1958	1958	291593	Richard Bankowsky	Richard	Bankowsky	male
mdp.39015016452834	After Pentecost; an epistle to the Romans	Bankowsky, Richard	1894	1961	1961	1855625	Richard Bankowsky	Richard	Bankowsky	male
mdp.39015016452826	On a dark night; three canticles	Bankowsky, Richard	1894	1964	1964	1559010	Richard Bankowsky	Richard	Bankowsky	male
uc1.32106017346542	Outer banks : three early novels	Banks, Russell	2031	2008	2008	179808417	Russell Banks	Russell	Banks	male
mdp.39015073983002	The Reserve : a novel	Banks, Russell	2031	2008	2008	156816770	Russell Banks	Russell	Banks	male
mdp.39015034258817	Rule of the bone : a novel	Banks, Russell	2031	1995	1995	32179169	Russell Banks	Russell	Banks	male
mdp.39015022067816	The sweet hereafter : a novel	Banks, Russell	2031	1991	1991	23219053	Russell Banks	Russell	Banks	male
mdp.39015005585768	Affliction	Banks, Russell	2031	1989	1989	20304999	Russell Banks	Russell	Banks	male
mdp.39015014639853	Family life	Banks, Russell	2031	1988	1988	17877743	Russell Banks	Russell	Banks	male
mdp.39015012202399	Success stories	Banks, Russell	2031	1986	1986	12942104	Russell Banks	Russell	Banks	male
mdp.39015046438159	Continental drift	Banks, Russell	2031	1985	1985	10998820	Russell Banks	Russell	Banks	male
mdp.39015009177661	Hamilton Stark : a novel	Banks, Russell	2031	1978	1978	3770836	Russell Banks	Russell	Banks	male
mdp.39015005208445	Trailerpark	Banks, Russell	2031	1981	1981	7551478	Russell Banks	Russell	Banks	male
uc1.32106002160486	Family life	Banks, Russell	2031	1975	1975	1819980	Russell Banks	Russell	Banks	male
uc1.32106002160502	Searching for survivors	Banks, Russell	2031	1975	1975	1360405	Russell Banks	Russell	Banks	male
pst.000060840554	Trailerpark	Banks, Russell	2031	1981	1986	14124087	Russell Banks	Russell	Banks	male
mdp.39015038917277	The Newton letter : an interlude	Banville, John	1104	1982	1982	9216610	John Banville	John	Banville	male
mdp.39015037444760	Athena	Banville, John	1104	1995	1995	32131049	John Banville	John	Banville	male
mdp.39015041281687	The untouchable	Banville, John	1104	1997	1997	35928634	John Banville	John	Banville	male
mdp.39015012187459	Mefisto	Banville, John	1104	1986	1986	13859906	John Banville	John	Banville	male
mdp.39015014575883	The book of evidence	Banville, John	1104	1989	1989	19264325	John Banville	John	Banville	male
