id	htid	person_id	author1_normalized	author1	author2	author3	author4	title	imprint	date	place	isbn	oclc	lccn
6141	uva.x000204923	4365	Warren, Robert Penn	Warren, Robert Penn 1905-1989	null	null	null	The circus in the attic, and other stories.	Harcourt, Brace [1962]	1962	nyu	[]	['1740051,4662010']	[]
6142	uva.x000039467	3640	Grumbach, Doris	Grumbach, Doris.	null	null	null	The spoil of the flowers.	Doubleday, 1962.	1962		[]	['1375889']	['62015931']
6143	uva.x030285025	863	Haldeman, Joe W.	Haldeman, Joe W.	null	null	null	The accidental time machine / Joe Haldeman.	Ace Books, 2007.	2007	nyu	['0441014992,9780441014996']	['84903770']	['2007006935']
6144	uva.x000196991	3184	McGalliard, John Calvin	McGalliard, John Calvin.	null	null	null	Classical mythology in certain mediaeval treatments of the legends of Troy, Thebes, and Aeneas : a study in the literary paganism of the Middle Ages / by John Calvin McGalliard.	1930	1930	mau	[]	['2959792']	[]
6145	uva.x004721987	3204	Prose, Francine	Prose, Francine 1947-	null	null	null	The lives of the muses : nine women & the artists they inspired / Francine Prose.	Aurum, 2003, c2002.	2002	enk	['1854109448']	['56348529']	[]
6146	uva.x004561425	17	Hall, Oakley M.	Hall, Oakley M.	null	null	null	Ambrose Bierce and the death of kings / Oakley Hall.	Viking, 2001.	2001	nyu	['0670030074 (alk. paper)']	['46472039']	['2001017990']
6147	uva.x004420623	3102	Foster, Patricia	Foster, Patricia 1948-	null	null	null	All the lost girls : confessions of a southern daughter / Patricia Foster.	University of Alabama Press, c2000.	2000	alu	['0817310479 (alk. paper)']	['43474646']	['00008355']
6148	uva.x004224102	287	Dobyns, Stephen	Dobyns, Stephen 1941-	null	null	null	Saratoga strongbox : a Charlie Bradshaw mystery / Stephen Dobyns.	Viking, 1998.	1998	nyu	['0670876925 (alk. paper)']	['38389730']	['98002886']
6149	uva.x004066790	17	Hall, Oakley M.	Hall, Oakley M.	null	null	null	Warlock / Oakley Hall.	University of Nevada Press, 1996.	1996	nvu	['0874172683 (acid-free paper)']	['31971192']	['95000965']
6150	uva.x006040742	1074	Graham, Jorie	Graham, Jorie 1950-	null	null	null	The dream of the unified field : selected poems, 1974-1994 / Jorie Graham.	Carcanet, 1996.	1996	enk	['1857542258 (pbk) :']	['60307004']	['gb 96023882']
6151	uva.x002532833	86	Irving, John	Irving, John 1942-	null	null	null	The Hotel New Hampshire / John Irving.	Black Swan, 1986, c1981.	1986	enk	['0552992097 (pbk) :']	['14358113,59203266']	['gb 86022949']
6152	uva.x002107670	3672	Hejinian, Lyn	Hejinian, Lyn.	Zasterle Press publisher.	Jerome McGann Library (University of Virginia)	null	The hunt / Lyn Hejinian.	Zasterle Press, 1991.	1991	sp	[]	['24360539']	[]
6153	uva.x000139981	592	McPherson, James Alan	McPherson, James Alan 1943-2016	null	null	null	Hue and cry : short stories / by James Alan McPherson.	Fawcett Crest, 1969.	1969	nyu	['0449241920']	['6063598']	[]
6154	umn.31951002363099g	17	Hall, Oakley M.	Hall, Oakley M.	null	null	null	The pawns of fear : a novel / by Jason Manor [pseud.].	Viking Press, 1955.	1955	nyu	[]	['1807376']	['55005870']
6155	txu.059173025353049	4324	Schramm, Wilbur Lang	Schramm, Wilbur Lang 1907-	null	null	null	Desarrollo de la comunicacioÌn y desarrollo econoÌmico, por Wilbur Schramm. [TraduccioÌn: JoseÌ J. FernaÌndez]	Instituto Interamericano de Ciencias AgriÌcolas de la OEA, 1965.	1965	cr	[]	['23709271']	[]
6156	txu.059173024375910	790	Kidder, Tracy	Kidder, Tracy.	null	null	null	The road to Yuba City; a journey into the Juan Corona murders.	Doubleday, 1974.	1974	nyu	[]	['1180080']	[]
6157	txu.059173025459301	4324	Schramm, Wilbur Lang	Schramm, Wilbur Lang 1907-	null	null	null	TelevisioÌn y reforma educativa en El Salvador / Schramm.	s.n., 1971?]	1971	xx	[]	['17023766']	[]
6158	txu.059173027943101	3100	Castellanos Moya, Horacio	Castellanos Moya, Horacio 1957-	null	null	null	QueÌ signo es usted, ninÌƒa Berta? / Horacio Castellanos Moya.	Editorial Guaymuras, 1981.	1981	ho	[]	['9510734']	[]
